# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : May 31 2014 - 12:37:17
#
# Loaded time stamp           : 20140531-12h51m21s562496us
#
# random seed             : 1401533481
85 : 54 c 0
85 : 76 c 0
85 : 81 c 0
85 : 81 c 0
85 : Agent Points Created 0
86 : 51 c 0
86 : 81 c 0
86 : 81 c 0
86 : 88 c 0
86 : 89 c 0
86 : 89 c 0
86 : 96 c 0
86 : Agent Points Created 0
87 : 9 c 0
87 : 12 c 0
87 : 13 c 0
87 : 13 c 0
87 : 42 c 0
87 : 51 c 0
87 : 54 c 0
87 : 81 c 0
87 : 81 c 0
87 : 93 c 0
87 : Agent Points Created 0
88 : 15 c 0
88 : 28 c 0
88 : 51 c 0
88 : 71 c 0
88 : 81 c 0
88 : 81 c 0
88 : 81 c 0
88 : 82 c 0
88 : Agent Points Created 0
89 : 0 c 0
89 : 28 c 0
89 : 51 c 0
89 : 51 c 0
89 : 51 c 0
89 : 58 c 0
89 : 69 c 0
89 : 69 c 0
89 : 71 c 0
89 : 71 c 0
89 : 71 c 0
89 : 71 c 0
89 : 71 c 0
89 : 71 c 0
89 : 71 c 0
89 : 71 c 0
89 : 81 c 0
89 : 81 c 0
89 : 89 c 0
89 : 92 c 0
89 : Agent Points Created 0
90 : 49 c 0
90 : 51 c 0
90 : 69 c 0
90 : 69 c 0
90 : 71 c 0
90 : 71 c 0
90 : 71 c 0
90 : 71 c 0
90 : 81 c 0
90 : 81 c 0
90 : 81 c 0
90 : Agent Points Created 0
91 : 13 c 0
91 : 25 c 0
91 : 42 c 0
91 : 51 c 0
91 : 51 c 0
91 : 51 c 0
91 : 58 c 0
91 : 65 c 0
91 : 69 c 0
91 : 71 c 0
91 : 71 c 0
91 : 80 c 0
91 : 81 c 0
91 : 81 c 0
91 : 85 c 0
91 : 88 c 0
91 : Agent Points Created 0
92 : 42 c 0
92 : 51 c 0
92 : 51 c 0
92 : 69 c 0
92 : 71 c 0
92 : 71 c 0
92 : 81 c 0
92 : 92 c 0
92 : 98 c 0
92 : Agent Points Created 0
93 : 28 c 0
93 : 51 c 0
93 : 69 c 0
93 : 71 c 0
93 : 81 c 0
93 : Agent Points Created 0
94 : 0 c 0
94 : 0 c 0
94 : 0 c 0
94 : 51 c 0
94 : 69 c 0
94 : 71 c 0
94 : 71 c 0
94 : 73 c 0
94 : 76 c 0
94 : 81 c 0
94 : Agent Points Created 0
95 : 0 c 0
95 : 0 c 0
95 : 12 c 0
95 : 12 c 0
95 : 12 c 0
95 : 12 c 0
95 : 12 c 0
95 : 12 c 0
95 : 12 c 0
95 : 12 c 0
95 : 12 c 0
95 : 12 c 0
95 : 36 c 0
95 : 69 c 0
95 : 71 c 0
95 : 86 c 0
95 : Agent Points Created 0
96 : 0 c 0
96 : 0 c 0
96 : 11 c 0
96 : 12 c 0
96 : 12 c 0
96 : 12 c 0
96 : 12 c 0
96 : 12 c 0
96 : 12 c 0
96 : 12 c 0
96 : 12 c 0
96 : 12 c 0
96 : 12 c 0
96 : 12 c 0
96 : 12 c 0
96 : 12 c 0
96 : 12 c 0
96 : 12 c 0
96 : 12 c 0
96 : 12 c 0
96 : 36 c 0
96 : 36 c 0
96 : 55 c 0
96 : 69 c 0
96 : 71 c 0
96 : 76 c 0
96 : 99 c 0
96 : Agent Points Created 0
97 : 0 c 0
97 : 12 c 0
97 : 12 c 0
97 : 12 c 0
97 : 12 c 0
97 : 12 c 0
97 : 12 c 0
97 : 12 c 0
97 : 12 c 0
97 : 12 c 0
97 : 12 c 0
97 : 12 c 0
97 : 12 c 0
97 : 12 c 0
97 : 12 c 0
97 : 12 c 0
97 : 36 c 0
97 : 36 c 0
97 : 54 c 0
97 : 55 c 0
97 : 69 c 0
97 : 71 c 0
97 : 71 c 0
97 : Agent Points Created 0
98 : 0 c 0
98 : 0 c 0
98 : 12 c 0
98 : 12 c 0
98 : 12 c 0
98 : 12 c 0
98 : 12 c 0
98 : 12 c 0
98 : 12 c 0
98 : 12 c 0
98 : 36 c 0
98 : 44 c 0
98 : 49 c 0
98 : 55 c 0
98 : 56 c 0
98 : 69 c 0
98 : 71 c 0
98 : 71 c 0
98 : 94 c 0
98 : 96 c 0
98 : Agent Points Created 0
99 : 0 c 0
99 : 12 c 0
99 : 12 c 0
99 : 12 c 0
99 : 12 c 0
99 : 12 c 0
99 : 12 c 0
99 : 12 c 0
99 : 12 c 0
99 : 49 c 0
99 : 55 c 0
99 : 69 c 0
99 : 71 c 0
99 : 71 c 0
99 : 75 c 0
99 : 94 c 0
99 : Agent Points Created 0
100 : 0 c 0
100 : 12 c 0
100 : 12 c 0
100 : 12 c 0
100 : 12 c 0
100 : 12 c 0
100 : 12 c 0
100 : 12 c 0
100 : 12 c 0
100 : 12 c 0
100 : 36 c 0
100 : 55 c 0
100 : 67 c 0
100 : 68 c 0
100 : 69 c 0
100 : 71 c 0
100 : 71 c 0
100 : 71 c 0
100 : 76 c 0
100 : 81 c 0
100 : 96 c 0
100 : Agent Points Created 0
101 : 10 c 0
101 : 12 c 0
101 : 12 c 0
101 : 12 c 0
101 : 17 c 0
101 : 32 c 0
101 : 36 c 0
101 : 49 c 0
101 : 55 c 0
101 : 55 c 0
101 : 55 c 0
101 : 69 c 0
101 : 71 c 0
101 : 71 c 0
101 : 73 c 0
101 : 74 c 0
101 : Agent Points Created 0
102 : 12 c 0
102 : 16 c 0
102 : 24 c 0
102 : 36 c 0
102 : 55 c 0
102 : 55 c 0
102 : 55 c 0
102 : 55 c 0
102 : 55 c 0
102 : 69 c 0
102 : 71 c 0
102 : 71 c 0
102 : Agent Points Created 0
103 : 0 c 0
103 : 12 c 0
103 : 13 c 0
103 : 36 c 0
103 : 44 c 0
103 : 54 c 0
103 : 55 c 0
103 : 55 c 0
103 : 55 c 0
103 : 55 c 0
103 : 55 c 0
103 : 55 c 0
103 : 71 c 0
103 : 75 c 0
103 : Agent Points Created 0
104 : 0 c 0
104 : 3 c 0
104 : 9 c 0
104 : 36 c 0
104 : 55 c 0
104 : 55 c 0
104 : 55 c 0
104 : 55 c 0
104 : 55 c 0
104 : 55 c 0
104 : 55 c 0
104 : 62 c 0
104 : 69 c 0
104 : 75 c 0
104 : 87 c 0
104 : 87 c 0
104 : 96 c 0
104 : 96 c 0
104 : Agent Points Created 0
105 : 15 c 0
105 : 27 c 0
105 : 28 c 0
105 : 28 c 0
105 : 36 c 0
105 : 55 c 0
105 : 55 c 0
105 : 55 c 0
105 : 55 c 0
105 : 55 c 0
105 : 55 c 0
105 : 55 c 0
105 : 55 c 0
105 : 55 c 0
105 : 66 c 0
105 : 69 c 0
105 : 82 c 0
105 : 87 c 0
105 : 87 c 0
105 : 87 c 0
105 : 96 c 0
105 : Agent Points Created 0
106 : 0 c 0
106 : 3 c 0
106 : 15 c 0
106 : 15 c 0
106 : 15 c 0
106 : 15 c 0
106 : 28 c 0
106 : 28 c 0
106 : 28 c 0
106 : 36 c 0
106 : 55 c 0
106 : 55 c 0
106 : 55 c 0
106 : 55 c 0
106 : 55 c 0
106 : 69 c 0
106 : 87 c 0
106 : 87 c 0
106 : 87 c 0
106 : 87 c 0
106 : 87 c 0
106 : Agent Points Created 0
107 : 0 c 0
107 : 15 c 0
